case_id,n,variant,algo_id,usable,time_us,required_workspace_bytes,check_status,check_status_code,tile_id,stages_id,splitk_num,reduction_scheme,cta_swizzling,custom_option,inner_shape_id,cluster_shape_id,waves_count,notes
n1000_int8_a_row_b_row_c_row_ab,1000,AB,6,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_ab,1000,AB,7,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_ab,1000,AB,11,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_ab,1000,AB,20,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_ab,1000,AB,21,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_ab,1000,AB,23,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_ab,1000,AB,39,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_ab,1000,AB,41,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_ab,1000,AB,64,True,32.85056114196777,0,CUBLAS_STATUS_SUCCESS,0,20,8,1,0,0,0,0,0,0.21621622145175934,
n1000_int8_a_row_b_row_c_row_ab,1000,AB,70,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_ab,1000,AB,71,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,6,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,7,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,11,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,20,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,21,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,23,True,14.398080110549927,0,CUBLAS_STATUS_SUCCESS,0,18,18,1,0,0,0,0,0,0.28828829526901245,
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,39,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,41,False,,,,,,,,,,,,,,No heuristic config for this algo_id
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,64,True,23.9084792137146,0,CUBLAS_STATUS_SUCCESS,0,20,8,1,0,0,0,0,0,0.21621622145175934,
n1000_int8_a_row_b_row_c_row_abt_view,1000,ABT_view,70,False,,,,,,,,,,,,,,No heuristic config for this algo_id
